voivo_code,vname,area,population
DLN,"Lower Silesian",19947,2891321
KPM,Kuyavian-Pomeranian,17971,2061942
LBS,Lubusz,13988,1007145
LDZ,Łódź,18219,2437970
LUB,Lublin,25123,2095258
MAZ,Masovian,35559,5425028
MLP,"Lesser Poland",15183,3410441
OPO,Opole,9412,976774
PDK,Subcarpathian,17846,2121229
PDL,Podlaskie,20187,1173286
POM,Pomeranian,18323,2346671
SLK,Silesian,12333,4492330
SWK,Świętkorzyskie,11710,1224626
WLK,"Greater Poland",29826,3496450
WMZ,Warmian-Masurian,24173,1416495
ZPM,"West Pomeranian",22905,1688047
